date,wind_speed_kmh,wind_direction_degrees,observations,hotspot_count,fire_radiative_power_mw,wind_alignment,aligned_hotspot_count,aligned_fire_radiative_power_mw,pm25_ug_m3,pm25_coverage_percent,pm25_next_day,pm25_next_day_coverage_percent,pm25_in_two_days,pm25_in_two_days_coverage_percent
2023-09-01,5.883333333333333,118.00034316942873,24,1935,17454.849999999995,0.7766362739312989,1502.7911900570632,14256.179293604311,12.2,96,20.9,96,24.3,100
2023-09-02,3.7583333333333324,235.12538935174115,24,2265,23063.9,0.15161903649654548,343.4171176646755,2661.893588366806,20.9,96,24.3,100,24.5,96
2023-09-03,5.729166666666665,120.57381936747265,24,2293,20400.449999999975,0.8658649518483373,1985.4283345882375,18019.545043911614,24.3,100,24.5,96,22,96
2023-09-04,5.741666666666668,165.94318316551244,24,1532,10517.269999999997,0.5423581566020096,830.8926959142788,5541.405252606937,24.5,96,22,96,4.33,96
2023-09-05,5.833333333333333,199.65128295108227,24,1350,8149.659999999988,0.22922745416428164,309.4570631217802,1175.1136047268967,22,96,4.33,96,16.3,96
2023-09-06,5.279166666666667,154.32701326848962,24,812,4203.200000000005,0.6716335751807182,545.3664630467432,2779.847737242259,4.33,96,16.3,96,18.7,96
2023-09-07,3.891666666666666,128.17997953947315,24,227,1113.1100000000008,0.8598499629209447,195.18594158305444,962.7519644353315,16.3,96,18.7,96,7.43,96
2023-09-08,4.370833333333334,174.50072363715572,24,477,4334.080000000004,0.4349279590631119,207.46063647310436,1798.8608428359641,18.7,96,7.43,96,5.83,100
2023-09-09,5.241666666666666,265.17594765710606,24,681,4998.270000000006,0.04287961483914764,29.20101770545954,138.1886544950285,7.43,96,5.83,100,11.1,92
2023-09-10,4.1125,200.9561417100314,24,1033,8994.89999999999,0.1387804207981134,143.36017468445115,632.6929419711784,5.83,100,11.1,92,23.8,100
2023-09-11,5.029166666666668,125.30320314359398,24,633,4628.38,0.6185541130536204,391.5447535629417,2858.5353853603133,11.1,92,23.8,100,22.6,92
2023-09-12,5.908333333333334,128.30278673159518,24,485,2440.499999999998,0.5901110092472226,286.20383948490297,1335.0175036526998,23.8,100,22.6,92,14,88
2023-09-13,5.75,135.73096524016756,24,928,9041.420000000007,0.7051948254181798,654.4207979880708,6526.09510350233,22.6,92,14,88,23.4,92
2023-09-14,6.445833333333332,153.80446855532796,24,841,6299.419999999998,0.707505981176986,595.0125301698453,4491.599086064445,14,88,23.4,92,22.9,100
2023-09-15,6.412500000000001,160.21770608737938,24,844,7424.6099999999915,0.7044291902458564,594.5382365675027,5130.84179223934,23.4,92,22.9,100,19.4,100
2023-09-16,5.408333333333334,32.02187602702372,24,1111,7781.460000000007,0.08737090636597127,97.06907697259408,610.8550410546817,22.9,100,19.4,100,10.5,96
2023-09-17,5.845833333333334,145.35731211143616,24,627,4026.090000000002,0.6875473463451709,431.0921861584222,2762.3466455347234,19.4,100,10.5,96,9.04,100
2023-09-18,5.691666666666666,143.94804900316387,24,378,3284.599999999998,0.6928505942234577,261.897524616467,2257.6879273184063,10.5,96,9.04,100,6.61,96
2023-09-19,5.9125000000000005,139.01897789857185,24,266,1422.9699999999998,0.6955386876111538,185.0132909045669,1027.4299590917608,9.04,100,6.61,96,6.22,75
2023-09-20,4.2250000000000005,235.37191450446377,24,602,5440.679999999996,0.13111906381965943,78.93367641943497,388.8652951455978,6.61,96,6.22,75,2.74,100
2023-09-21,7.175,281.9969673559302,24,974,8082.770000000002,0.0009818464314738677,0.956318424255547,3.649404406317639,6.22,75,2.74,100,7.58,100
2023-09-22,7.229166666666667,303.24975027586447,24,1349,10468.119999999977,0,0,0,2.74,100,7.58,100,4.86,100
2023-09-23,4.9750000000000005,290.2782859161225,24,1383,10528.32000000001,0,0,0,7.58,100,4.86,100,8.89,83
2023-09-24,9.566666666666668,296.822948814576,24,2053,15759.180000000046,0,0,0,4.86,100,8.89,83,19.4,75
2023-09-25,5.2,110.29586736411818,24,2861,23710.539999999964,0.8148704084286673,2331.344238514417,19846.12999404459,8.89,83,19.4,75,,
2023-09-26,5.925,121.96940669048615,24,3076,36220.769999999924,0.8034580585710867,2471.4369881646626,31295.32570159559,19.4,75,,,40.6,29
2023-09-27,8.379166666666666,145.25026787710948,24,3706,32814.930000000015,0.7144797516228956,2647.861959514451,23394.12668852216,,,40.6,29,37.5,100
2023-09-28,7.608333333333334,149.34779996212,24,4170,34032.29999999993,0.7119589625319931,2968.868873758411,24272.842689520356,40.6,29,37.5,100,23.8,96
2023-09-29,5.716666666666666,117.37013264396472,24,3050,20422.739999999972,0.7637461426665765,2329.4257351330584,14138.419987809353,37.5,100,23.8,96,,
2023-09-30,4.387499999999999,156.97514138480483,24,3050,26617.760000000057,0.6414743977798654,1956.4969132285894,17048.571004800116,23.8,96,,,,
