latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,region
-5.55271,105.02068,332.7,0.48,0.4,2023-09-01,643,N,VIIRS,n,2,299.95,3.04,D,0,sumatra
-5.55092,105.01757,333.06,0.48,0.4,2023-09-01,643,N,VIIRS,n,2,301.03,2.26,D,0,sumatra
-5.47239,104.28621,340.64,0.45,0.39,2023-09-01,643,N,VIIRS,n,2,297.49,3.52,D,0,sumatra
-5.46884,104.28561,334.71,0.45,0.39,2023-09-01,643,N,VIIRS,n,2,297.43,3.52,D,0,sumatra
-5.43237,105.33303,334.9,0.5,0.41,2023-09-01,643,N,VIIRS,n,2,304.57,3.07,D,0,sumatra
-5.43054,105.00091,334.73,0.48,0.4,2023-09-01,643,N,VIIRS,n,2,301.13,3.89,D,0,sumatra
-5.3601,102.20667,330.58,0.39,0.36,2023-09-01,643,N,VIIRS,n,2,300.01,3.14,D,0,sumatra
-5.2404,103.97455,338.02,0.44,0.38,2023-09-01,643,N,VIIRS,n,2,302.77,32.7,D,0,sumatra
-4.79768,104.63837,338.81,0.47,0.4,2023-09-01,643,N,VIIRS,n,2,310.96,9.8,D,0,sumatra
-4.77072,104.64301,335.94,0.47,0.4,2023-09-01,643,N,VIIRS,n,2,306.72,2.11,D,0,sumatra
-4.76741,105.66161,334.18,0.53,0.42,2023-09-01,643,N,VIIRS,n,2,302.64,4.12,D,0,sumatra
-4.73627,104.62556,330.82,0.47,0.4,2023-09-01,643,N,VIIRS,l,2,304.86,1.83,D,0,sumatra
-4.70518,104.19965,337.79,0.45,0.39,2023-09-01,643,N,VIIRS,n,2,308.71,3.3,D,0,sumatra
-4.65582,104.61309,334.9,0.47,0.4,2023-09-01,643,N,VIIRS,n,2,306.17,3.36,D,0,sumatra
-4.6553,105.48877,345.21,0.52,0.42,2023-09-01,643,N,VIIRS,n,2,304.3,40.62,D,0,sumatra
-4.61944,103.25595,334.14,0.41,0.37,2023-09-01,643,N,VIIRS,n,2,295.91,6.39,D,0,sumatra
-4.61885,103.25977,337.94,0.41,0.37,2023-09-01,643,N,VIIRS,n,2,298.63,6.39,D,0,sumatra
-4.58896,103.94429,336.45,0.44,0.38,2023-09-01,643,N,VIIRS,n,2,303.56,3.71,D,0,sumatra
-4.5837,105.86105,333.57,0.55,0.43,2023-09-01,643,N,VIIRS,n,2,300.58,4.12,D,0,sumatra
-4.57986,104.21487,334.73,0.45,0.39,2023-09-01,643,N,VIIRS,l,2,306.94,3.82,D,0,sumatra
-4.56818,104.98935,336.88,0.49,0.41,2023-09-01,643,N,VIIRS,n,2,304.48,7.59,D,0,sumatra
-4.56386,103.15988,330.97,0.41,0.37,2023-09-01,643,N,VIIRS,n,2,299.28,3.95,D,0,sumatra
-4.56329,103.16358,332.43,0.41,0.37,2023-09-01,643,N,VIIRS,n,2,299.05,5.07,D,0,sumatra
-4.54754,105.71069,336.72,0.54,0.42,2023-09-01,643,N,VIIRS,n,2,304.14,4.44,D,0,sumatra
-4.54558,104.53329,330.91,0.47,0.4,2023-09-01,643,N,VIIRS,l,2,303.21,1.32,D,0,sumatra
-4.54441,105.70518,333.97,0.54,0.42,2023-09-01,643,N,VIIRS,n,2,303.42,3.95,D,0,sumatra
-4.52341,104.55579,334.29,0.47,0.4,2023-09-01,643,N,VIIRS,l,2,304.79,4.07,D,0,sumatra
-4.52311,104.95953,345.87,0.49,0.4,2023-09-01,643,N,VIIRS,n,2,300.84,12.09,D,0,sumatra
-4.52275,104.56004,338.18,0.47,0.4,2023-09-01,643,N,VIIRS,n,2,304.27,4.07,D,0,sumatra
-4.49929,105.51501,333.91,0.53,0.42,2023-09-01,643,N,VIIRS,n,2,302.67,6.08,D,0,sumatra
-4.49852,105.51978,347.13,0.53,0.42,2023-09-01,643,N,VIIRS,n,2,303.33,6.08,D,0,sumatra
-4.49827,105.59096,331.25,0.53,0.42,2023-09-01,643,N,VIIRS,l,2,302.98,4.3,D,0,sumatra
-4.49783,105.51714,345.79,0.53,0.42,2023-09-01,643,N,VIIRS,n,2,304.01,7.86,D,0,sumatra
-4.49709,105.52191,331.14,0.53,0.42,2023-09-01,643,N,VIIRS,l,2,304.53,7.86,D,0,sumatra
-4.49461,105.59285,341.39,0.53,0.42,2023-09-01,643,N,VIIRS,n,2,307.11,23.88,D,0,sumatra
-4.49365,105.59518,337.54,0.53,0.42,2023-09-01,643,N,VIIRS,n,2,306.64,13.28,D,0,sumatra
-4.47653,104.59216,334.44,0.47,0.4,2023-09-01,643,N,VIIRS,l,2,304.83,4.48,D,0,sumatra
-4.46989,104.58671,335.74,0.47,0.4,2023-09-01,643,N,VIIRS,l,2,306.3,2.9,D,0,sumatra
-4.46922,104.59099,339.23,0.47,0.4,2023-09-01,643,N,VIIRS,n,2,307.05,6.25,D,0,sumatra
-4.4673,105.41017,342.57,0.52,0.42,2023-09-01,643,N,VIIRS,n,2,303.25,6.64,D,0,sumatra
-4.45704,104.07495,335,0.45,0.39,2023-09-01,643,N,VIIRS,l,2,307.22,10.91,D,0,sumatra
-4.45294,104.57536,332.85,0.47,0.4,2023-09-01,643,N,VIIRS,l,2,304.71,3.23,D,0,sumatra
-4.44928,105.84747,338.14,0.55,0.43,2023-09-01,643,N,VIIRS,n,2,302.89,5.59,D,0,sumatra
-4.44608,105.84982,338.27,0.55,0.43,2023-09-01,643,N,VIIRS,n,2,302.39,8.8,D,0,sumatra
-4.44533,105.84688,338.86,0.55,0.43,2023-09-01,643,N,VIIRS,n,2,302.02,5.59,D,0,sumatra
-4.43758,104.53434,333.56,0.47,0.4,2023-09-01,643,N,VIIRS,n,2,303.01,3.2,D,0,sumatra
-4.4297,105.15881,338.29,0.51,0.41,2023-09-01,643,N,VIIRS,n,2,303.31,3.51,D,0,sumatra
