latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,region,local_date
-2.57598,103.08407,298.41,0.34,0.56,2025-08-31,1759,N,VIIRS,n,2,280.12,1.41,N,0,sumatra,2025-09-01
-2.57434,103.08199,295.1,0.34,0.56,2025-08-31,1759,N,VIIRS,n,2,277.63,1.29,N,0,sumatra,2025-09-01
4.94033,97.40699,303.34,0.38,0.59,2025-08-31,1938,N,VIIRS,n,2,287.03,0.43,N,0,sumatra,2025-09-01
-4.67256,104.91479,331.89,0.41,0.37,2025-09-01,638,N,VIIRS,n,2,293.54,1.87,D,0,sumatra,2025-09-01
-3.51282,103.14013,332.79,0.39,0.36,2025-09-01,638,N,VIIRS,n,2,280.54,2.04,D,0,sumatra,2025-09-01
-3.48528,103.14593,344.7,0.39,0.36,2025-09-01,639,N,VIIRS,n,2,279.78,13.25,D,0,sumatra,2025-09-01
-3.46494,103.1677,335.37,0.39,0.36,2025-09-01,639,N,VIIRS,n,2,283.47,3.73,D,0,sumatra,2025-09-01
-3.13429,102.875,332.36,0.38,0.36,2025-09-01,639,N,VIIRS,n,2,294.26,7.41,D,0,sumatra,2025-09-01
-3.03693,102.73589,331.61,0.38,0.36,2025-09-01,639,N,VIIRS,n,2,293.3,3.5,D,0,sumatra,2025-09-01
-2.96673,102.68908,331.38,0.38,0.36,2025-09-01,639,N,VIIRS,n,2,293.77,2.51,D,0,sumatra,2025-09-01
-2.79832,101.54658,330.99,0.39,0.36,2025-09-01,639,N,VIIRS,n,2,290.65,3.88,D,0,sumatra,2025-09-01
-2.79274,103.58095,328.66,0.39,0.36,2025-09-01,639,N,VIIRS,n,2,291.84,2.69,D,0,sumatra,2025-09-01
-2.72417,103.74749,332.74,0.4,0.37,2025-09-01,639,N,VIIRS,n,2,280.88,3.04,D,0,sumatra,2025-09-01
-2.68608,102.99957,329.63,0.39,0.36,2025-09-01,639,N,VIIRS,n,2,286.46,2.06,D,0,sumatra,2025-09-01
-2.683,102.80003,337.74,0.38,0.36,2025-09-01,639,N,VIIRS,n,2,288.16,5.3,D,0,sumatra,2025-09-01
-2.68149,103.29774,334.17,0.39,0.36,2025-09-01,639,N,VIIRS,n,2,293.86,3.51,D,0,sumatra,2025-09-01
-2.67582,102.80249,340.77,0.38,0.36,2025-09-01,639,N,VIIRS,n,2,291.35,26.32,D,0,sumatra,2025-09-01
-2.65851,102.7822,329.82,0.38,0.36,2025-09-01,639,N,VIIRS,n,2,293.15,6.06,D,0,sumatra,2025-09-01
-2.65815,103.04858,337.09,0.39,0.36,2025-09-01,639,N,VIIRS,n,2,285.35,5.21,D,0,sumatra,2025-09-01
-2.65482,103.04807,337.61,0.39,0.36,2025-09-01,639,N,VIIRS,n,2,283.69,5.21,D,0,sumatra,2025-09-01
-2.64571,102.84392,337.79,0.38,0.36,2025-09-01,639,N,VIIRS,n,2,295.56,9.56,D,0,sumatra,2025-09-01
-2.63858,103.06971,329.89,0.39,0.36,2025-09-01,639,N,VIIRS,n,2,283.17,1.68,D,0,sumatra,2025-09-01
-2.57956,103.62752,332.67,0.39,0.36,2025-09-01,639,N,VIIRS,n,2,282.54,2.81,D,0,sumatra,2025-09-01
-2.55534,103.146,332.51,0.39,0.36,2025-09-01,639,N,VIIRS,n,2,279.9,5.5,D,0,sumatra,2025-09-01
-2.49931,103.11888,333.57,0.39,0.36,2025-09-01,639,N,VIIRS,n,2,281.06,5.43,D,0,sumatra,2025-09-01
-2.45092,102.94473,333.84,0.39,0.36,2025-09-01,639,N,VIIRS,n,2,288.97,3.46,D,0,sumatra,2025-09-01
-2.41678,102.94943,333.22,0.39,0.36,2025-09-01,639,N,VIIRS,n,2,291.54,10.72,D,0,sumatra,2025-09-01
-2.41625,102.9529,333.54,0.39,0.36,2025-09-01,639,N,VIIRS,n,2,290.8,12.65,D,0,sumatra,2025-09-01
-2.41345,102.94894,330.02,0.39,0.36,2025-09-01,639,N,VIIRS,n,2,288.48,10.72,D,0,sumatra,2025-09-01
-2.41292,102.9524,335.87,0.39,0.36,2025-09-01,639,N,VIIRS,n,2,289.07,12.65,D,0,sumatra,2025-09-01
-2.40626,102.95139,345.09,0.39,0.36,2025-09-01,639,N,VIIRS,n,2,291.62,11.77,D,0,sumatra,2025-09-01
