date,pm25_ug_m3,unit,coverage_percent,sensor_id
2023-09-01,12.2,µg/m³,96,2085316
2023-09-02,20.9,µg/m³,96,2085316
2023-09-03,24.3,µg/m³,100,2085316
2023-09-04,24.5,µg/m³,96,2085316
2023-09-05,22,µg/m³,96,2085316
2023-09-06,4.33,µg/m³,96,2085316
2023-09-07,16.3,µg/m³,96,2085316
2023-09-08,18.7,µg/m³,96,2085316
2023-09-09,7.43,µg/m³,96,2085316
2023-09-10,5.83,µg/m³,100,2085316
2023-09-11,11.1,µg/m³,92,2085316
2023-09-12,23.8,µg/m³,100,2085316
2023-09-13,22.6,µg/m³,92,2085316
2023-09-14,14,µg/m³,88,2085316
2023-09-15,23.4,µg/m³,92,2085316
2023-09-16,22.9,µg/m³,100,2085316
2023-09-17,19.4,µg/m³,100,2085316
2023-09-18,10.5,µg/m³,96,2085316
2023-09-19,9.04,µg/m³,100,2085316
2023-09-20,6.61,µg/m³,96,2085316
2023-09-21,6.22,µg/m³,75,2085316
2023-09-22,2.74,µg/m³,100,2085316
2023-09-23,7.58,µg/m³,100,2085316
2023-09-24,4.86,µg/m³,100,2085316
2023-09-25,8.89,µg/m³,83,2085316
2023-09-26,19.4,µg/m³,75,2085316
2023-09-28,40.6,µg/m³,29,2085316
2023-09-29,37.5,µg/m³,100,2085316
2023-09-30,23.8,µg/m³,96,2085316
