date,pm25_ug_m3,unit,coverage_percent,sensor_id
2025-09-01,29.5,µg/m³,100,12178404
2025-09-02,9.7,µg/m³,100,12178404
2025-09-03,22.1,µg/m³,100,12178404
2025-09-04,8.81,µg/m³,100,12178404
2025-09-05,12.2,µg/m³,100,12178404
2025-09-06,14.2,µg/m³,100,12178404
2025-09-07,9.23,µg/m³,100,12178404
2025-09-08,12.6,µg/m³,79,12178404
2025-09-09,6.19,µg/m³,100,12178404
2025-09-10,29.7,µg/m³,100,12178404
2025-09-11,24,µg/m³,100,12178404
2025-09-12,7.63,µg/m³,100,12178404
2025-09-13,16.8,µg/m³,100,12178404
2025-09-14,29.6,µg/m³,100,12178404
2025-09-15,2.19,µg/m³,100,12178404
2025-09-16,2.55,µg/m³,100,12178404
2025-09-17,3.7,µg/m³,100,12178404
2025-09-18,13,µg/m³,100,12178404
2025-09-19,22.1,µg/m³,100,12178404
2025-09-20,41.6,µg/m³,100,12178404
2025-09-21,39.5,µg/m³,100,12178404
2025-09-22,30.5,µg/m³,100,12178404
2025-09-23,35.3,µg/m³,100,12178404
2025-09-24,18.9,µg/m³,100,12178404
2025-09-25,19.8,µg/m³,100,12178404
2025-09-26,34.2,µg/m³,100,12178404
2025-09-27,42.3,µg/m³,92,12178404
2025-09-28,16.6,µg/m³,88,12178404
2025-09-29,9.59,µg/m³,96,12178404
2025-09-30,6.93,µg/m³,96,12178404
2025-10-01,18,µg/m³,100,12178404
2025-10-02,25,µg/m³,100,12178404
2025-10-03,16,µg/m³,100,12178404
2025-10-04,13.7,µg/m³,96,12178404
2025-10-05,17.6,µg/m³,100,12178404
2025-10-06,24.1,µg/m³,100,12178404
2025-10-07,12.4,µg/m³,100,12178404
2025-10-08,17.7,µg/m³,100,12178404
2025-10-09,7.99,µg/m³,100,12178404
2025-10-10,6.14,µg/m³,100,12178404
2025-10-11,8.5,µg/m³,96,12178404
2025-10-12,7.57,µg/m³,100,12178404
2025-10-13,14.6,µg/m³,100,12178404
2025-10-14,24.7,µg/m³,100,12178404
2025-10-15,17.9,µg/m³,100,12178404
2025-10-16,19.3,µg/m³,100,12178404
2025-10-17,11.5,µg/m³,100,12178404
2025-10-18,15.1,µg/m³,100,12178404
2025-10-19,7.38,µg/m³,100,12178404
2025-10-20,11.9,µg/m³,88,12178404
2025-10-21,4.6,µg/m³,100,12178404
2025-10-22,1.72,µg/m³,100,12178404
2025-10-23,2.71,µg/m³,100,12178404
2025-10-24,0.411,µg/m³,100,12178404
2025-10-25,4.76,µg/m³,100,12178404
2025-10-26,16,µg/m³,96,12178404
2025-10-27,21.6,µg/m³,100,12178404
2025-10-28,16.4,µg/m³,100,12178404
2025-10-29,11.9,µg/m³,100,12178404
2025-10-30,23.2,µg/m³,100,12178404
2025-10-31,19,µg/m³,100,12178404
