date,time,wind_speed_kmh,wind_direction_degrees
2025-09-01,2025-09-01T00:00,1.3,106
2025-09-01,2025-09-01T01:00,3.2,137
2025-09-01,2025-09-01T02:00,2.5,201
2025-09-01,2025-09-01T03:00,7.9,311
2025-09-01,2025-09-01T04:00,6.9,97
2025-09-01,2025-09-01T05:00,3.3,99
2025-09-01,2025-09-01T06:00,1.9,56
2025-09-01,2025-09-01T07:00,0.9,37
2025-09-01,2025-09-01T08:00,4.3,48
2025-09-01,2025-09-01T09:00,7.6,118
2025-09-01,2025-09-01T10:00,4.5,140
2025-09-01,2025-09-01T11:00,6,139
2025-09-01,2025-09-01T12:00,6.9,171
2025-09-01,2025-09-01T13:00,7.6,185
2025-09-01,2025-09-01T14:00,7.9,207
2025-09-01,2025-09-01T15:00,8.1,215
2025-09-01,2025-09-01T16:00,7,226
2025-09-01,2025-09-01T17:00,5.9,220
2025-09-01,2025-09-01T18:00,4.8,214
2025-09-01,2025-09-01T19:00,3.9,208
2025-09-01,2025-09-01T20:00,4.7,196
2025-09-01,2025-09-01T21:00,7.1,164
2025-09-01,2025-09-01T22:00,3.7,141
2025-09-01,2025-09-01T23:00,2.6,129
2025-09-02,2025-09-02T00:00,3,38
2025-09-02,2025-09-02T01:00,3.2,34
2025-09-02,2025-09-02T02:00,3.1,28
2025-09-02,2025-09-02T03:00,6,339
2025-09-02,2025-09-02T04:00,2,275
2025-09-02,2025-09-02T05:00,2.5,270
2025-09-02,2025-09-02T06:00,2.7,90
2025-09-02,2025-09-02T07:00,2.4,103
2025-09-02,2025-09-02T08:00,3.6,171
2025-09-02,2025-09-02T09:00,4.2,140
2025-09-02,2025-09-02T10:00,2.3,157
2025-09-02,2025-09-02T11:00,3.5,204
2025-09-02,2025-09-02T12:00,1.7,167
2025-09-02,2025-09-02T13:00,3.4,227
2025-09-02,2025-09-02T14:00,5.5,243
2025-09-02,2025-09-02T15:00,7.7,271
2025-09-02,2025-09-02T16:00,5,268
2025-09-02,2025-09-02T17:00,6.1,214
2025-09-02,2025-09-02T18:00,3.2,199
2025-09-02,2025-09-02T19:00,2.7,148
2025-09-02,2025-09-02T20:00,3.5,171
2025-09-02,2025-09-02T21:00,2.1,70
2025-09-02,2025-09-02T22:00,1.9,56
2025-09-02,2025-09-02T23:00,2.4,54
2025-09-03,2025-09-03T00:00,2.2,85
2025-09-03,2025-09-03T01:00,3.5,125
2025-09-03,2025-09-03T02:00,2.7,70
2025-09-03,2025-09-03T03:00,2.9,22
2025-09-03,2025-09-03T04:00,3.2,56
2025-09-03,2025-09-03T05:00,0.8,117
2025-09-03,2025-09-03T06:00,1.4,220
2025-09-03,2025-09-03T07:00,2.8,11
2025-09-03,2025-09-03T08:00,1.8,156
2025-09-03,2025-09-03T09:00,4.6,18
2025-09-03,2025-09-03T10:00,3.3,84
2025-09-03,2025-09-03T11:00,2.9,133
2025-09-03,2025-09-03T12:00,3.3,151
2025-09-03,2025-09-03T13:00,3.1,156
2025-09-03,2025-09-03T14:00,4.7,198
2025-09-03,2025-09-03T15:00,7.6,214
2025-09-03,2025-09-03T16:00,4.5,196
2025-09-03,2025-09-03T17:00,3.3,135
2025-09-03,2025-09-03T18:00,5.4,124
2025-09-03,2025-09-03T19:00,2.7,132
2025-09-03,2025-09-03T20:00,3.9,137
2025-09-03,2025-09-03T21:00,2.7,143
2025-09-03,2025-09-03T22:00,1.8,90
2025-09-03,2025-09-03T23:00,3.4,74
2025-09-04,2025-09-04T00:00,1.2,39
2025-09-04,2025-09-04T01:00,2.1,20
2025-09-04,2025-09-04T02:00,0.4,243
2025-09-04,2025-09-04T03:00,4.5,227
2025-09-04,2025-09-04T04:00,0.4,63
2025-09-04,2025-09-04T05:00,5.7,62
2025-09-04,2025-09-04T06:00,4.6,51
2025-09-04,2025-09-04T07:00,3.5,66
2025-09-04,2025-09-04T08:00,3.6,49
2025-09-04,2025-09-04T09:00,3.4,93
2025-09-04,2025-09-04T10:00,3.5,152
2025-09-04,2025-09-04T11:00,5,165
2025-09-04,2025-09-04T12:00,6.4,198
2025-09-04,2025-09-04T13:00,9.4,203
2025-09-04,2025-09-04T14:00,8.9,220
